2026/07/09 11:20:51 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/09 11:20:51 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/09 11:20:51 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/09 11:20:51 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/09 11:45:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:46:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:46:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:47:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:47:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:48:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:48:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:49:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:49:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:50:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:50:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:51:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:51:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:52:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:52:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:53:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:53:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:54:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:54:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:55:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:55:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:56:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:56:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:57:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:57:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:58:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:58:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:59:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:59:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:00:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:00:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:01:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:01:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:02:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:02:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:03:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:03:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:04:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:04:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:05:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:05:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:06:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:06:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:07:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:07:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:08:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:08:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:09:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:09:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:10:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:10:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:11:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:11:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:12:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:12:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:13:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:13:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:14:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:14:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:15:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:15:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:16:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:16:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:17:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:17:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:18:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:18:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:19:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:19:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:20:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:20:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:21:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:21:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:22:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:22:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:23:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:23:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:24:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:24:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:25:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:25:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:26:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:26:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:27:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:27:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:28:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:28:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:29:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:29:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:30:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:30:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:31:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:31:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:32:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:32:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:33:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:33:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:34:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:34:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:35:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:35:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:36:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:36:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:37:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:37:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:38:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:38:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:39:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:39:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:40:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:40:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:41:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:41:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:42:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:42:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:43:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:43:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:44:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:44:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:45:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:45:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 12:46:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 12:46:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
