2026/07/08 11:40:18 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/08 11:40:18 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/08 11:40:18 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/08 11:40:18 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/08 12:05:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:06:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:06:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:07:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:07:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:08:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:08:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:09:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:09:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:10:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:10:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:11:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:11:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:12:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:12:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:13:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:13:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:14:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:14:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:15:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:15:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:16:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:16:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:17:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:17:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
