2026/07/08 15:42:41 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/08 15:42:41 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/08 15:42:41 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/08 15:42:41 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/08 16:07:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:08:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:08:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:09:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:09:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:10:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:10:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:11:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:11:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:12:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:12:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:13:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:13:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:14:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:14:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:15:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:15:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:16:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:16:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:17:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:17:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:18:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:18:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:19:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:19:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:20:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:20:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:21:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:21:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:22:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:22:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:23:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:23:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:24:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:24:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:25:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:25:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:26:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:26:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:27:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:27:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:28:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:28:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 16:29:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 16:29:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
